column,missing_count,missing_percent
fraud_bool,0,0.0
income,0,0.0
device_fraud_count,0,0.0
device_distinct_emails_8w,0,0.0
keep_alive_session,0,0.0
device_os,0,0.0
session_length_in_minutes,0,0.0
source,0,0.0
foreign_request,0,0.0
proposed_credit_limit,0,0.0
has_other_cards,0,0.0
bank_months_count,0,0.0
phone_mobile_valid,0,0.0
phone_home_valid,0,0.0
housing_status,0,0.0
email_is_free,0,0.0
credit_risk_score,0,0.0
employment_status,0,0.0
date_of_birth_distinct_emails_4w,0,0.0
bank_branch_count_8w,0,0.0
velocity_4w,0,0.0
velocity_24h,0,0.0
velocity_6h,0,0.0
zip_count_4w,0,0.0
payment_type,0,0.0
intended_balcon_amount,0,0.0
days_since_request,0,0.0
customer_age,0,0.0
current_address_months_count,0,0.0
prev_address_months_count,0,0.0
name_email_similarity,0,0.0
month,0,0.0
